Date,Name,Close,High,Low,Open,Volume
02/12/2001,Golden Ocean Group Ltd,94.9616771867,95.2434625789,94.1163210099,94.6798917944,"150,800",
02/13/2001,Golden Ocean Group Ltd,94.6798917944,95.5252479711,94.6798917944,94.9616771867,"133,700",
02/14/2001,Golden Ocean Group Ltd,93.5527502254,95.8070333634,93.5527502254,95.5252479711,"89,300",
02/15/2001,Golden Ocean Group Ltd,94.9616771867,95.2434625789,90.1713255185,94.6798917944,"138,700",
02/16/2001,Golden Ocean Group Ltd,94.3981064022,95.2434625789,93.5527502254,94.6798917944,"103,400",
02/20/2001,Golden Ocean Group Ltd,93.8345356177,95.8070333634,93.8345356177,95.2434625789,"219,400",
02/21/2001,Golden Ocean Group Ltd,95.2434625789,95.5252479711,93.8345356177,93.8345356177,"198,700",
02/22/2001,Golden Ocean Group Ltd,94.7503381425,95.8070333634,94.3981064022,94.9616771867,"53,900",
02/23/2001,Golden Ocean Group Ltd,95.8070333634,96.3706041479,94.6798917944,95.2434625789,"100,600",
02/26/2001,Golden Ocean Group Ltd,102.0063119928,103.1334535618,98.0613165014,98.0613165014,"154,200",
02/27/2001,Golden Ocean Group Ltd,99.1884580703,102.0063119928,98.9066726781,102.0063119928,"101,900",
02/28/2001,Golden Ocean Group Ltd,100.3155996393,101.4427412083,99.1884580703,101.1609558161,"70,300",
03/01/2001,Golden Ocean Group Ltd,100.2451532913,102.0063119928,99.1884580703,101.4427412083,"84,000",
03/02/2001,Golden Ocean Group Ltd,99.1884580703,101.1609558161,99.1884580703,99.8929215509,"62,000",
03/05/2001,Golden Ocean Group Ltd,101.1609558161,103.9788097385,99.7520288548,99.7520288548,"193,800",
03/06/2001,Golden Ocean Group Ltd,99.1884580703,102.288097385,99.1884580703,102.0063119928,"141,700",
03/07/2001,Golden Ocean Group Ltd,99.7520288548,102.8516681695,99.7520288548,102.5698827773,"99,500",
03/08/2001,Golden Ocean Group Ltd,105.669522092,106.796663661,101.4427412083,101.4427412083,"454,600",
03/09/2001,Golden Ocean Group Ltd,105.9513074842,108.7691614067,101.6540802525,105.9513074842,"280,700",
03/12/2001,Golden Ocean Group Ltd,107.0784490532,109.0509467989,105.9513074842,107.3602344454,"321,800",
03/13/2001,Golden Ocean Group Ltd,103.6265779982,107.9238052299,102.5698827773,107.2193417493,"332,100",
03/14/2001,Golden Ocean Group Ltd,100.8791704238,105.1059513075,96.3706041479,104.542380523,"199,500",
03/15/2001,Golden Ocean Group Ltd,100.0338142471,105.3877366997,96.3706041479,103.6970243463,"221,600",
03/16/2001,Golden Ocean Group Ltd,102.5698827773,105.9513074842,99.1884580703,102.5698827773,"161,100",
03/19/2001,Golden Ocean Group Ltd,102.5698827773,103.6970243463,101.4427412083,103.5561316501,"122,800",
03/20/2001,Golden Ocean Group Ltd,102.7107754734,104.2605951307,101.4427412083,102.5698827773,"199,200",
03/21/2001,Golden Ocean Group Ltd,101.5131875564,104.8241659152,101.5131875564,103.1334535618,"414,800",
03/22/2001,Golden Ocean Group Ltd,100.3155996393,104.2605951307,96.9341749324,102.5698827773,"220,600",
03/23/2001,Golden Ocean Group Ltd,100.8791704238,102.5698827773,98.0613165014,100.3155996393,"70,700",
03/26/2001,Golden Ocean Group Ltd,107.0784490532,107.0784490532,101.8654192967,102.0063119928,"103,200",
03/27/2001,Golden Ocean Group Ltd,109.8963029757,109.8963029757,104.2605951307,106.796663661,"77,000",
03/28/2001,Golden Ocean Group Ltd,108.7691614067,109.3327321912,105.9513074842,108.2055906222,"47,000",
03/29/2001,Golden Ocean Group Ltd,108.4873760144,109.3327321912,106.2330928765,108.4873760144,"68,200",
03/30/2001,Golden Ocean Group Ltd,110.1780883679,110.4598737601,107.6420198377,108.2055906222,"58,500",
04/02/2001,Golden Ocean Group Ltd,107.9238052299,112.7141568981,107.9238052299,110.1780883679,"131,500",
04/03/2001,Golden Ocean Group Ltd,107.994251578,110.4598737601,107.0784490532,108.0646979261,"206,200",
04/04/2001,Golden Ocean Group Ltd,108.7691614067,110.1780883679,108.2055906222,108.3464833183,"188,400",
04/05/2001,Golden Ocean Group Ltd,111.0234445446,114.9684400361,108.4873760144,110.4598737601,"198,000",
04/06/2001,Golden Ocean Group Ltd,110.4598737601,111.8688007214,108.7691614067,111.446122633,"83,700",
04/09/2001,Golden Ocean Group Ltd,112.9395852119,115.1938683499,112.9395852119,114.3823264202,"173,100",
04/10/2001,Golden Ocean Group Ltd,118.349864743,118.349864743,114.9684400361,116.7718665464,"628,900",
04/11/2001,Golden Ocean Group Ltd,116.862037872,125.3381424707,116.862037872,118.5752930568,"370,900",
04/12/2001,Golden Ocean Group Ltd,119.3868349865,119.9278629396,117.6735798016,118.8458070334,"236,300",
04/16/2001,Golden Ocean Group Ltd,121.73128945,122.8133453562,120.4490486925,121.73128945,"302,400",
04/17/2001,Golden Ocean Group Ltd,117.2678088368,122.8584310189,112.7141568981,121.9567177638,"258,800",
04/18/2001,Golden Ocean Group Ltd,117.6284941389,119.7024346258,116.7267808837,119.7024346258,"254,400",
04/19/2001,Golden Ocean Group Ltd,119.7024346258,120.2434625789,117.4481514878,117.7637511271,"132,800",
04/20/2001,Golden Ocean Group Ltd,117.8990081154,119.5220919748,116.1857529306,119.477006312,"135,500",
04/23/2001,Golden Ocean Group Ltd,119.477006312,122.091974752,117.8990081154,121.5509467989,"214,800",
04/24/2001,Golden Ocean Group Ltd,121.73128945,121.9567177638,116.4111812444,119.7024346258,"489,200",
04/25/2001,Golden Ocean Group Ltd,116.6366095582,117.8990081154,108.2055906222,117.8990081154,"326,300",
04/26/2001,Golden Ocean Group Ltd,115.8701532913,117.7186654644,113.7511271416,117.7186654644,"180,700",
04/27/2001,Golden Ocean Group Ltd,116.6366095582,117.222723174,114.0667267809,116.6366095582,"143,600",
04/30/2001,Golden Ocean Group Ltd,113.1650135257,117.1776375113,112.4887285843,116.3660955816,"244,900",
05/01/2001,Golden Ocean Group Ltd,111.5870153291,114.2470694319,111.0910730388,112.7141568981,"422,000",
05/02/2001,Golden Ocean Group Ltd,105.996393147,110.4598737601,102.7953110911,110.4598737601,"406,500",
05/03/2001,Golden Ocean Group Ltd,104.1478809739,107.303877367,101.4427412083,105.9513074842,"275,300",
05/04/2001,Golden Ocean Group Ltd,107.303877367,107.303877367,103.0207394049,103.742110009,"225,100",
05/07/2001,Golden Ocean Group Ltd,107.5293056808,112.4887285843,107.2137060415,107.7547339946,"148,600",
05/08/2001,Golden Ocean Group Ltd,113.1199278629,113.1650135257,106.6275924256,109.5130748422,"229,800",
05/09/2001,Golden Ocean Group Ltd,112.4887285843,114.2470694319,110.2795311091,113.3904418395,"118,300",
05/10/2001,Golden Ocean Group Ltd,112.9846708747,114.7610459874,111.5870153291,113.1650135257,"89,400",
05/11/2001,Golden Ocean Group Ltd,112.8043282236,114.9684400361,112.4887285843,113.7060414788,"55,900",
05/14/2001,Golden Ocean Group Ltd,112.9395852119,116.095581605,111.7222723174,113.8638412985,"122,100",
05/15/2001,Golden Ocean Group Ltd,112.4887285843,114.7430117223,110.9107303877,114.1568981064,"77,300",
05/16/2001,Golden Ocean Group Ltd,113.9765554554,114.2470694319,112.4887285843,113.6158701533,"115,800",
05/17/2001,Golden Ocean Group Ltd,114.788097385,117.222723174,112.9395852119,114.7430117223,"110,900",
05/18/2001,Golden Ocean Group Ltd,113.480613165,115.5545536519,112.7592425609,113.7285843102,"112,800",
05/21/2001,Golden Ocean Group Ltd,114.8782687106,116.7718665464,114.8782687106,115.1938683499,"87,000",
05/22/2001,Golden Ocean Group Ltd,111.7222723174,114.9684400361,110.4598737601,113.7962128043,"171,100",
05/23/2001,Golden Ocean Group Ltd,108.8818755636,111.5870153291,108.6564472498,110.6853020739,"126,600",
05/24/2001,Golden Ocean Group Ltd,112.9846708747,114.9684400361,109.3327321912,109.558160505,"131,200",
05/25/2001,Golden Ocean Group Ltd,112.4887285843,114.0667267809,112.2633002705,112.7141568981,"142,300",
